epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.619,1.99114,2.99376,1.71014,0.42443,0.33554,0.32102,0.13541,1.87322,2.33236,1.60557,0.00332565,0.00332565,0.00332565
2,184.491,1.83187,2.0533,1.51799,0.4657,0.33934,0.32479,0.13807,1.99193,2.22835,1.59494,0.00662602,0.00662602,0.00662602
3,263.456,1.86539,1.94357,1.5501,0.5026,0.43053,0.39873,0.1739,1.90227,1.85864,1.71065,0.0098934,0.0098934,0.0098934
4,364.348,1.87854,1.85755,1.57803,0.53025,0.45223,0.44283,0.19553,1.88178,1.70025,1.68331,0.0098515,0.0098515,0.0098515
5,477.641,1.8365,1.71209,1.55045,0.5535,0.47639,0.47562,0.21414,1.84657,1.60901,1.63952,0.009802,0.009802,0.009802
6,573.208,1.79134,1.59912,1.52773,0.5886,0.48908,0.50302,0.23384,1.82446,1.53589,1.66553,0.0097525,0.0097525,0.0097525
7,623.296,1.78277,1.56171,1.52402,0.58171,0.46965,0.47916,0.22504,1.78212,1.55234,1.60035,0.009703,0.009703,0.009703
8,668.092,1.75155,1.50101,1.50575,0.64787,0.50565,0.52987,0.25373,1.78176,1.41361,1.6432,0.0096535,0.0096535,0.0096535
9,718.015,1.73806,1.48117,1.49816,0.64278,0.52192,0.55178,0.26784,1.73468,1.40272,1.60947,0.009604,0.009604,0.009604
10,815.993,1.71623,1.45217,1.49369,0.6614,0.53242,0.56945,0.28605,1.66249,1.34191,1.57877,0.0095545,0.0095545,0.0095545
11,863.263,1.69467,1.39093,1.48309,0.68139,0.5385,0.5758,0.29354,1.67134,1.31077,1.58253,0.009505,0.009505,0.009505
12,913.185,1.69693,1.37646,1.48512,0.67079,0.54722,0.58026,0.30001,1.66337,1.25587,1.55936,0.0094555,0.0094555,0.0094555
13,964.674,1.69166,1.35618,1.48275,0.67023,0.51362,0.56061,0.28452,1.69241,1.32693,1.62243,0.009406,0.009406,0.009406
14,1017.32,1.67448,1.32996,1.46733,0.72159,0.53104,0.59535,0.30461,1.66742,1.2658,1.55576,0.0093565,0.0093565,0.0093565
15,1073.12,1.6484,1.29946,1.45405,0.73129,0.55873,0.61217,0.3187,1.64762,1.16923,1.55635,0.009307,0.009307,0.009307
16,1132.67,1.64189,1.27701,1.46062,0.73762,0.56212,0.61463,0.32586,1.62924,1.15653,1.55955,0.0092575,0.0092575,0.0092575
17,1191.63,1.63192,1.25246,1.4523,0.73232,0.56276,0.61634,0.32378,1.62997,1.16051,1.55374,0.009208,0.009208,0.009208
18,1246.59,1.63754,1.26289,1.46061,0.75744,0.56926,0.62857,0.33097,1.63607,1.131,1.55333,0.0091585,0.0091585,0.0091585
19,1294.07,1.61554,1.22276,1.44402,0.75034,0.5597,0.61692,0.32786,1.60776,1.1549,1.52479,0.009109,0.009109,0.009109
20,1335.71,1.62324,1.23387,1.45156,0.76205,0.57093,0.63207,0.33808,1.60428,1.12976,1.53419,0.0090595,0.0090595,0.0090595
21,1380.37,1.60237,1.20913,1.43941,0.7643,0.57714,0.63517,0.34517,1.5841,1.11046,1.53819,0.00901,0.00901,0.00901
22,1422.61,1.60028,1.19618,1.4406,0.75256,0.58158,0.63574,0.34806,1.56448,1.09691,1.51656,0.0089605,0.0089605,0.0089605
23,1483.08,1.59477,1.19584,1.4291,0.76989,0.57534,0.63901,0.34971,1.58248,1.07761,1.51954,0.008911,0.008911,0.008911
24,1606.02,1.58793,1.18106,1.43433,0.78644,0.57525,0.64518,0.3523,1.58704,1.07433,1.52333,0.0088615,0.0088615,0.0088615
25,1743.43,1.57681,1.16449,1.42216,0.75687,0.58184,0.63788,0.34969,1.57583,1.06451,1.521,0.008812,0.008812,0.008812
